Location,Airport,IATA,ICAO
Algiers,Houari Boumediene Airport,ALG,DAAG
Annaba,Rabah Bitat Airport,AAE,DABB
Batna,Batna Airport,BLJ,DABT
Béjaïa,Soummam Airport,BJA,DAAE
Chlef,Chlef International Airport,CFK,DAOI
Constantine,Mohamed Boudiaf International Airport,CZL,DABC
Jijel,Jijel Ferhat Abbas Airport,GJL,DAAV
Oran,Oran Es Senia Airport,ORN,DAOO
Oumache,Biskra Airport,BSK,DAUB
Sétif,Ain Arnat Airport,QSF,DAAS
Tlemcen,Zenata – Messali El Hadj Airport,TLM,DAON
Alexandria,Borg El Arab International Airport,HBE,HEBA
Alexandria,El Nouzha Airport (OPEN),ALY,HEAX
Asyut,Assiut Airport,ATZ,HEAT
Aswan,Aswan International Airport,ASW,HESN
Cairo,Cairo International Airport,CAI,HECA
Cairo,Sphinx International Airport,SPX,HESX
El Arish,El Arish International Airport,AAC,HEAR
El Dabaa,El Alamein International Airport,DBB,HEAL
Hurghada,Hurghada International Airport,HRG,HEGN
Luxor,Luxor International Airport,LXR,HELX
Marsa Alam,Marsa Alam International Airport,RMF,HEMA
Mersa Matruh,Mersa Matruh International Airport,MUH,HEMM
Saint Catherine,St. Catherine International Airport,SKV,HESC
Sharm El Sheikh,Sharm El Sheikh International Airport,SSH,HESH
Sohag,Sohag International Airport,HMB,HEMK
Taba,Taba International Airport,TCP,HETB
Benghazi,Benina International Airport,BEN,HLLB
Sabha,Sabha Airport,SEB,HLLS
Tripoli,Tripoli International Airport,TIP,HLLT
Tajoura,Mitiga International Airport,MJI,HLLM
Agadir,Agadir–Al Massira Airport,AGA,GMAD
Beni Mellal,Beni Mellal Airport,BEM,GMMD
Casablanca,Mohammed V International Airport,CMN,GMMN
Fes,Fès–Saïs Airport,FEZ,GMFF
Marrakesh,Marrakesh Menara Airport,RAK,GMMX
Nador,Nador International Airport,NDR,GMMW
Ouarzazate,Ouarzazate Airport,OZZ,GMMZ
Oujda,Angads Airport,OUD,GMFO
Rabat,Rabat–Salé Airport,RBA,GMME
Tangier,Tangier Ibn Battouta Airport,TNG,GMTT
Tetouan,Sania Ramel Airport,TTU,GMTN
Dakhla,Dakhla Airport,VIL,GMMH
Laayoune,Hassan I Airport,EUN,GMML
Khartoum,Khartoum International Airport,KRT,HSSK
Port Sudan,Port Sudan New International Airport,PZU,HSPN
Djerba,Djerba–Zarzis International Airport,DJE,DTTJ
Enfidha,Enfidha–Hammamet International Airport,NBE,DTNH
Monastir,Monastir Habib Bourguiba International Airport,MIR,DTMB
Sfax,Sfax–Thyna International Airport,SFA,DTTX
Tabarka,Tabarka–Aïn Draham International Airport,TBJ,DTKA
Tozeur,Tozeur–Nefta International Airport,TOE,DTTZ
Tunis,Tunis–Carthage International Airport,TUN,DTTA
Cotonou,Cadjehoun Airport,COO,DBBB
Bobo-Dioulasso,Bobo Dioulasso Airport,BOY,DFOO
Ouagadougou,Thomas Sankara International Airport Ouagadougou,OUA,DFFD
Boa Vista,Aristides Pereira International Airport,BVC,GVBA
Sal Island,Amílcar Cabral International Airport,SID,GVAC
"Praia, Santiago Island",Nelson Mandela International Airport,RAI,GVNP
São Vicente,Cesária Évora Airport,VXE,GVSV
Banjul,Banjul International Airport,BJL,GBYD
Accra,Kotoka International Airport,ACC,DGAA
Kumasi,Kumasi International Airport,KMS,DGSI
Takoradi,Takoradi Airport,TKD,DGTK
Sunyani,Sunyani Airport,NYI,DGSN
Ho,Ho Airport,HZO,DGAH
Wa,Wa Airport,WZA,DGLW
Tamale,Tamale Airport,TML,DGLE
Conakry,Conakry International Airport,CKY,GUCY
Bissau,Osvaldo Vieira International Airport,OXB,GGOV
Abidjan,Félix-Houphouët-Boigny International Airport,ABJ,DIAP
Monrovia,Roberts International Airport,ROB,GLRB
Bamako,Modibo Keita International Airport,BKO,GABS
