Time,Latitude,Longitude,Course,feet
Thu 01:22:36 PM,43.681,-79.5946,↗ 45°,"1,000"
Thu 01:22:52 PM,43.6909,-79.5818,↗ 43°,"1,850"
Thu 01:23:08 PM,43.7003,-79.57,↗ 42°,"2,375"
Thu 01:23:24 PM,43.7109,-79.5568,↗ 41°,"2,850"
Thu 01:23:40 PM,43.7209,-79.5449,↗ 41°,"3,300"
Thu 01:23:56 PM,43.7324,-79.5316,↗ 41°,"3,750"
Thu 01:24:12 PM,43.7443,-79.5174,↗ 41°,"3,950"
Thu 01:24:28 PM,43.7585,-79.5001,↗ 42°,"4,125"
Thu 01:24:44 PM,43.773,-79.482,↗ 42°,"4,425"
Thu 01:25:00 PM,43.7884,-79.4626,↗ 43°,"4,825"
Thu 01:25:16 PM,43.8045,-79.4421,↗ 43°,"5,400"
Thu 01:25:34 PM,43.8208,-79.4202,↗ 45°,"5,825"
Thu 01:25:50 PM,43.8397,-79.3955,↗ 42°,"6,100"
Thu 01:26:07 PM,43.8618,-79.3765,↗ 30°,"6,300"
Thu 01:26:25 PM,43.8828,-79.3599,↗ 30°,"6,650"
Thu 01:26:44 PM,43.9064,-79.3377,↗ 38°,"6,975"
Thu 01:27:08 PM,43.935,-79.3065,↗ 38°,"7,925"
Thu 01:27:30 PM,43.9628,-79.2754,↗ 41°,"8,600"
Thu 01:27:54 PM,43.9906,-79.2388,↗ 46°,"9,600"
Thu 01:28:18 PM,44.0151,-79.2008,↗ 49°,"10,625"
Thu 01:28:35 PM,44.0343,-79.1732,↗ 41°,"11,200"
Thu 01:28:53 PM,44.059,-79.1496,↗ 29°,"11,950"
Thu 01:29:09 PM,44.0846,-79.1348,↑ 19°,"12,650"
Thu 01:29:26 PM,44.1094,-79.1225,↑ 21°,"13,400"
Thu 01:29:56 PM,44.161,-79.097,↑ 19°,"14,525"
Thu 01:30:26 PM,44.21,-79.0733,↑ 19°,"15,800"
Thu 01:30:56 PM,44.2585,-79.0496,↑ 19°,"16,875"
Thu 01:31:26 PM,44.3128,-79.0229,↑ 20°,"17,975"
Thu 01:31:56 PM,44.3642,-78.9974,↑ 20°,"18,950"
Thu 01:32:26 PM,44.4187,-78.9703,↑ 20°,"19,975"
Thu 01:32:56 PM,44.4733,-78.9433,↑ 20°,"20,800"
Thu 01:33:26 PM,44.5312,-78.9144,↑ 20°,"21,425"
Thu 01:33:56 PM,44.591,-78.8846,↑ 20°,"22,100"
Thu 01:34:26 PM,44.6505,-78.8548,↑ 20°,"22,875"
Thu 01:34:57 PM,44.7165,-78.8218,↑ 20°,"23,825"
Thu 01:35:27 PM,44.7761,-78.7921,↑ 20°,"24,625"
Thu 01:35:57 PM,44.8421,-78.7588,↑ 20°,"25,400"
Thu 01:36:27 PM,44.9101,-78.7245,↑ 20°,"26,250"
Thu 01:36:57 PM,44.9707,-78.6939,↑ 20°,"27,000"
Thu 01:37:28 PM,45.0412,-78.6581,↑ 20°,"27,825"
Thu 01:37:58 PM,45.1075,-78.6244,↑ 20°,"28,575"
Thu 01:38:28 PM,45.1731,-78.5911,↑ 20°,"29,225"
