Time,Latitude,Longitude,Course,feet
Tue 03:30:33 PM,43.6822,-79.5929,↗ 45°,800
Tue 03:30:49 PM,43.6905,-79.5816,↗ 44°,"1,275"
Tue 03:31:05 PM,43.6996,-79.57,↗ 42°,"1,725"
Tue 03:31:21 PM,43.7075,-79.5602,↗ 42°,"2,025"
Tue 03:31:37 PM,43.7166,-79.5491,↗ 41°,"2,450"
Tue 03:31:53 PM,43.7261,-79.5377,↗ 41°,"2,800"
Tue 03:32:09 PM,43.7352,-79.5267,↗ 41°,"3,175"
Tue 03:32:25 PM,43.7447,-79.5151,↗ 41°,"3,475"
Tue 03:32:41 PM,43.7542,-79.5024,↗ 54°,"3,650"
Tue 03:32:57 PM,43.7581,-79.4856,→ 89°,"3,725"
Tue 03:33:13 PM,43.7566,-79.4654,→ 99°,"3,900"
Tue 03:33:29 PM,43.753,-79.4433,→ 105°,"4,150"
Tue 03:33:45 PM,43.7477,-79.4174,→ 104°,"4,400"
Tue 03:34:01 PM,43.7468,-79.392,→ 82°,"4,575"
Tue 03:34:17 PM,43.7509,-79.3668,→ 76°,"4,800"
Tue 03:34:47 PM,43.7603,-79.3161,→ 76°,"5,275"
Tue 03:35:17 PM,43.7699,-79.2654,→ 75°,"5,750"
Tue 03:35:47 PM,43.7793,-79.2165,→ 75°,"6,275"
Tue 03:36:17 PM,43.7887,-79.1669,→ 76°,"6,775"
Tue 03:36:47 PM,43.7979,-79.1172,→ 76°,"6,950"
Tue 03:37:17 PM,43.8076,-79.0646,→ 76°,"6,950"
Tue 03:37:47 PM,43.8164,-79.0135,→ 77°,"7,900"
Tue 03:38:17 PM,43.8251,-78.9619,→ 77°,"9,175"
Tue 03:39:03 PM,43.8389,-78.8803,→ 77°,"10,400"
Tue 03:39:33 PM,43.8492,-78.8201,→ 77°,"10,825"
Tue 03:40:03 PM,43.8599,-78.7579,→ 77°,"11,675"
Tue 03:40:33 PM,43.8715,-78.6896,→ 77°,"12,900"
Tue 03:41:03 PM,43.8826,-78.6249,→ 77°,"14,075"
Tue 03:41:33 PM,43.8936,-78.5596,→ 77°,"15,025"
Tue 03:42:03 PM,43.9055,-78.4886,→ 77°,"16,150"
Tue 03:42:33 PM,43.917,-78.4205,→ 77°,"17,150"
Tue 03:43:03 PM,43.929,-78.348,→ 77°,"18,000"
Tue 03:43:33 PM,43.9412,-78.2755,→ 77°,"18,900"
Tue 03:44:03 PM,43.9535,-78.2004,→ 77°,"19,850"
Tue 03:44:33 PM,43.9662,-78.124,→ 77°,"20,525"
Tue 03:45:03 PM,43.9789,-78.047,→ 77°,"21,325"
Tue 03:45:34 PM,43.9925,-77.9636,→ 77°,"22,150"
Tue 03:46:04 PM,44.0052,-77.8853,→ 77°,"22,950"
Tue 03:46:34 PM,44.0186,-77.8024,→ 77°,"23,650"
Tue 03:46:52 PM,44.0271,-77.7541,→ 73°,"24,075"
Tue 03:47:11 PM,44.0429,-77.7009,↗ 64°,"24,550"
Tue 03:47:48 PM,44.077,-77.6078,↗ 63°,"25,225"
Tue 03:48:18 PM,44.1052,-77.5317,↗ 63°,"25,500"
Tue 03:48:48 PM,44.1358,-77.449,↗ 63°,"25,825"
Tue 03:49:18 PM,44.1667,-77.3654,↗ 63°,"26,475"
Tue 03:49:48 PM,44.1967,-77.2827,↗ 63°,"26,975"
Tue 03:50:18 PM,44.2276,-77.1971,↗ 63°,"27,525"
Tue 03:50:48 PM,44.2597,-77.1094,↗ 63°,"28,050"
Tue 03:51:18 PM,44.2913,-77.0229,↗ 63°,"28,600"
Tue 03:51:48 PM,44.3222,-76.9382,↗ 63°,"29,050"
Tue 03:52:05 PM,44.3423,-76.8821,↗ 65°,"29,375"
Tue 03:52:45 PM,44.3757,-76.7597,→ 69°,"29,800"
