Time,Latitude,Longitude,Course,feet
Fri 11:12:27 PM,43.6706,-79.6699,↙ 228°,"1,575"
Fri 11:12:43 PM,43.6619,-79.6853,↙ 236°,"2,325"
Fri 11:12:59 PM,43.6546,-79.7002,↙ 236°,"2,700"
Fri 11:13:15 PM,43.6452,-79.7197,↙ 237°,"3,000"
Fri 11:13:45 PM,43.6252,-79.7611,↙ 236°,"3,825"
Fri 11:14:03 PM,43.6148,-79.7823,↙ 237°,"4,475"
Fri 11:14:21 PM,43.6081,-79.8138,← 267°,"5,400"
Fri 11:14:37 PM,43.6127,-79.838,← 297°,"6,200"
Fri 11:14:53 PM,43.6262,-79.8597,↖ 321°,"6,850"
Fri 11:15:09 PM,43.6444,-79.8735,↑ 340°,"7,500"
Fri 11:15:25 PM,43.6683,-79.8794,↑ 0°,"8,225"
Fri 11:15:43 PM,43.6907,-79.8751,↑ 10°,"9,000"
Fri 11:16:08 PM,43.7271,-79.8663,↑ 12°,"9,975"
Fri 11:16:29 PM,43.7558,-79.8509,↗ 29°,"10,800"
Fri 11:17:02 PM,43.798,-79.8078,↗ 37°,"11,525"
Fri 11:17:32 PM,43.8408,-79.7626,↗ 38°,"12,325"
Fri 11:18:02 PM,43.8838,-79.7169,↗ 37°,"13,525"
Fri 11:18:32 PM,43.9291,-79.6693,↗ 37°,"14,700"
Fri 11:19:02 PM,43.975,-79.621,↗ 37°,"15,950"
Fri 11:19:26 PM,44.0161,-79.5851,↗ 27°,"16,925"
Fri 11:19:42 PM,44.0441,-79.5678,↑ 21°,"17,625"
Fri 11:20:17 PM,44.1096,-79.5357,↑ 19°,"19,050"
Fri 11:20:47 PM,44.1699,-79.5067,↑ 19°,"20,100"
Fri 11:21:17 PM,44.2266,-79.4793,↑ 19°,"21,825"
Fri 11:21:47 PM,44.2831,-79.4518,↑ 19°,"23,200"
Fri 11:22:17 PM,44.3398,-79.424,↑ 19°,"24,050"
Fri 11:22:47 PM,44.3964,-79.3906,↗ 27°,"24,850"
Fri 11:23:31 PM,44.4756,-79.3259,↗ 31°,"25,950"
Fri 11:24:01 PM,44.5274,-79.2822,↗ 31°,"26,675"
Fri 11:24:31 PM,44.5835,-79.2347,↗ 31°,"27,325"
Fri 11:25:01 PM,44.6403,-79.1866,↗ 31°,"27,700"
Fri 11:25:31 PM,44.699,-79.1367,↗ 31°,"28,325"
Fri 11:26:01 PM,44.7593,-79.0854,↗ 31°,"28,900"
Fri 11:26:31 PM,44.8185,-79.0349,↗ 31°,"29,375"
Fri 11:27:01 PM,44.8799,-78.9824,↗ 31°,"29,925"
Fri 11:27:31 PM,44.9412,-78.9292,↗ 32°,"30,500"
Fri 11:28:01 PM,45.0064,-78.872,↗ 32°,"31,100"
Fri 11:28:31 PM,45.0699,-78.8161,↗ 32°,"31,650"
Fri 11:29:01 PM,45.1305,-78.7626,↗ 32°,"32,200"
Fri 11:29:31 PM,45.1952,-78.7055,↗ 32°,"32,750"
Fri 11:30:01 PM,45.261,-78.6474,↗ 32°,"33,000"
Fri 11:30:31 PM,45.3268,-78.5891,↗ 32°,"33,000"
Fri 11:31:01 PM,45.391,-78.532,↗ 32°,"33,000"
Fri 11:31:31 PM,45.4562,-78.4739,↗ 32°,"33,000"
Fri 11:32:01 PM,45.5224,-78.4148,↗ 32°,"33,000"
Fri 11:32:31 PM,45.5886,-78.3574,↗ 30°,"33,000"
Fri 11:33:01 PM,45.6541,-78.3033,↗ 30°,"33,000"
Fri 11:33:31 PM,45.7216,-78.2477,↗ 30°,"33,000"
Fri 11:34:01 PM,45.7884,-78.1922,↗ 30°,"33,000"
Fri 11:34:31 PM,45.8552,-78.1361,↗ 31°,"33,000"
Fri 11:35:01 PM,45.9202,-78.0812,↗ 31°,"33,000"
Fri 11:35:32 PM,45.9871,-78.0244,↗ 31°,"33,000"
Fri 11:36:02 PM,46.0526,-77.9687,↗ 31°,"33,000"
Fri 11:36:32 PM,46.1175,-77.9133,↗ 31°,"33,000"
Fri 11:37:02 PM,46.1831,-77.857,↗ 31°,"33,000"
Fri 11:37:32 PM,46.2458,-77.8032,↗ 31°,"33,000"
Fri 11:38:02 PM,46.3114,-77.7467,↗ 31°,"33,000"
Fri 11:38:32 PM,46.3725,-77.6941,↗ 31°,"33,000"
Fri 11:39:02 PM,46.4344,-77.6408,↗ 31°,"33,000"
Fri 11:39:32 PM,46.4988,-77.585,↗ 31°,"33,000"
Fri 11:40:02 PM,46.5616,-77.5303,↗ 31°,"33,000"
Fri 11:40:32 PM,46.6263,-77.4738,↗ 31°,"33,000"
Fri 11:41:02 PM,46.6875,-77.4206,↗ 31°,"33,000"
Fri 11:41:32 PM,46.7512,-77.3647,↗ 31°,"33,000"
Fri 11:42:02 PM,46.813,-77.3104,↗ 31°,"33,000"
Fri 11:42:33 PM,46.8789,-77.2524,↗ 31°,"33,000"
Fri 11:43:03 PM,46.9408,-77.1978,↗ 31°,"33,000"
Fri 11:43:33 PM,47.005,-77.141,↗ 31°,"33,000"
Fri 11:44:03 PM,47.066,-77.0868,↗ 31°,"33,000"
Fri 11:44:33 PM,47.1303,-77.0295,↗ 31°,"33,000"
Fri 11:45:03 PM,47.1923,-76.974,↗ 31°,"33,000"
Fri 11:45:33 PM,47.2553,-76.9176,↗ 31°,"33,000"
Fri 11:46:03 PM,47.3173,-76.862,↗ 31°,"33,000"
Fri 11:46:33 PM,47.3799,-76.8056,↗ 32°,"33,000"
Fri 11:47:03 PM,47.4433,-76.7483,↗ 32°,"33,000"
Fri 11:47:33 PM,47.5048,-76.6927,↗ 32°,"33,000"
Fri 11:48:03 PM,47.5673,-76.6358,↗ 32°,"33,000"
Fri 11:48:34 PM,47.6296,-76.5792,↗ 32°,"33,000"
Fri 11:49:04 PM,47.6926,-76.5216,↗ 32°,"33,000"
Fri 11:49:34 PM,47.7537,-76.4657,↗ 32°,"33,000"
Fri 11:50:04 PM,47.8175,-76.407,↗ 32°,"33,000"
Fri 11:50:34 PM,47.8787,-76.3506,↗ 32°,"33,000"
Fri 11:51:04 PM,47.9412,-76.2929,↗ 32°,"33,000"
Fri 11:51:34 PM,48.0004,-76.238,↗ 32°,"32,975"
Fri 11:52:05 PM,48.0648,-76.1782,↗ 32°,"33,025"
Fri 11:52:35 PM,48.127,-76.1202,↗ 32°,"33,000"
Fri 11:53:06 PM,48.1884,-76.0629,↗ 32°,"33,000"
Fri 11:53:36 PM,48.2506,-76.0045,↗ 32°,"33,000"
Fri 11:54:07 PM,48.312,-75.9469,↗ 32°,"33,000"
Fri 11:54:37 PM,48.373,-75.8893,↗ 32°,"33,025"
Fri 11:55:07 PM,48.4337,-75.832,↗ 32°,"33,000"
Fri 11:55:37 PM,48.4945,-75.7742,↗ 32°,"33,000"
Fri 11:56:07 PM,48.5541,-75.7176,↗ 32°,"33,000"
Fri 11:56:38 PM,48.6158,-75.6589,↗ 32°,"33,000"
Fri 11:57:09 PM,48.6802,-75.5971,↗ 33°,"33,000"
Fri 11:57:39 PM,48.7412,-75.5387,↗ 32°,"33,000"
Fri 11:58:09 PM,48.8007,-75.4815,↗ 33°,"33,000"
Fri 11:58:39 PM,48.8597,-75.4245,↗ 33°,"33,000"
Fri 11:59:29 PM,48.9594,-75.3279,↗ 33°,"33,000"
Sat 12:00:00 AM,49.0184,-75.2706,↗ 33°,"33,000"
Sat 12:00:30 AM,49.0779,-75.2127,↗ 33°,"33,000"
Sat 12:01:00 AM,49.1372,-75.1547,↗ 33°,"33,000"
Sat 12:01:30 AM,49.1966,-75.0962,↗ 33°,"33,000"
Sat 12:02:00 AM,49.2567,-75.0371,↗ 33°,"33,000"
Sat 12:02:30 AM,49.317,-74.9777,↗ 33°,"33,000"
Sat 12:03:00 AM,49.3778,-74.9176,↗ 33°,"33,000"
Sat 12:03:39 AM,49.4548,-74.8412,↗ 33°,"33,000"
Sat 12:04:09 AM,49.5166,-74.7796,↗ 33°,"33,000"
Sat 12:04:40 AM,49.5766,-74.7196,↗ 33°,"33,000"
Sat 12:05:10 AM,49.6387,-74.6574,↗ 33°,"33,000"
Sat 12:05:40 AM,49.6989,-74.597,↗ 33°,"33,000"
Sat 12:06:14 AM,49.7659,-74.5301,↗ 31°,"33,000"
Sat 12:06:54 AM,49.8516,-74.4646,↗ 22°,"33,000"
Sat 12:07:29 AM,49.931,-74.4173,↑ 21°,"33,000"
Sat 12:08:06 AM,50.0145,-74.3677,↑ 21°,"33,000"
Sat 12:08:36 AM,50.0785,-74.3296,↑ 21°,"32,975"
Sat 12:09:06 AM,50.1459,-74.2892,↑ 21°,"33,000"
Sat 12:10:00 AM,50.2669,-74.2165,↑ 21°,"33,000"
Sat 12:10:42 AM,50.3605,-74.16,↑ 21°,"33,000"
Sat 12:11:21 AM,50.4467,-74.1076,↑ 21°,"32,975"
Sat 12:11:51 AM,50.5158,-74.0655,↑ 21°,"33,000"
Sat 12:12:28 AM,50.5995,-74.0144,↑ 21°,"32,975"
Sat 12:13:03 AM,50.6785,-73.966,↑ 21°,"33,025"
Sat 12:13:46 AM,50.7773,-73.9052,↑ 21°,"33,000"
Sat 12:14:32 AM,50.8816,-73.8407,↑ 21°,"33,000"
Sat 12:15:03 AM,50.9498,-73.7983,↗ 22°,"33,000"
Sat 12:15:33 AM,51.0185,-73.7556,↗ 22°,"33,000"
Sat 12:16:03 AM,51.0859,-73.7134,↗ 22°,"33,000"
Sat 12:17:03 AM,51.2249,-73.626,↗ 22°,"33,000"
Sat 12:17:33 AM,51.2935,-73.5828,↗ 22°,"33,000"
Sat 12:18:34 AM,51.432,-73.495,↗ 22°,"33,000"
Sat 12:19:32 AM,51.5642,-73.4106,↗ 22°,"33,000"
Sat 12:21:03 AM,51.7667,-73.2667,↗ 22°,"33,000"
Sat 12:22:03 AM,51.9,-73.1833,↑ 21°,"33,000"
Sat 12:23:03 AM,52.0333,-73.0833,↗ 25°,"33,000"
Sat 12:24:03 AM,52.15,-73,↗ 24°,"33,000"
Sat 12:25:04 AM,52.2833,-72.9167,↑ 21°,"33,000"
Sat 12:26:03 AM,52.4167,-72.8167,↗ 25°,"33,000"
Sat 12:27:03 AM,52.55,-72.75,↑ 17°,"33,000"
Sat 12:28:03 AM,52.6833,-72.65,↗ 24°,"33,000"
Sat 12:29:03 AM,52.8167,-72.5667,↑ 21°,"33,000"
Sat 12:30:04 AM,52.95,-72.4667,↗ 24°,"33,000"
Sat 12:31:03 AM,53.0833,-72.3667,↗ 24°,"33,000"
Sat 12:32:03 AM,53.2167,-72.3,↑ 17°,"33,000"
Sat 12:33:03 AM,53.35,-72.2167,↑ 20°,"33,000"
Sat 12:34:03 AM,53.4667,-72.1167,↗ 27°,"33,000"
Sat 12:35:03 AM,53.6,-72.0167,↗ 24°,"33,000"
Sat 12:36:04 AM,53.7333,-71.9167,↗ 24°,"33,000"
Sat 12:37:03 AM,53.8667,-71.85,↑ 16°,"33,000"
Sat 12:38:03 AM,53.9667,-71.75,↗ 30°,"33,000"
Sat 12:39:03 AM,54.1167,-71.65,↑ 21°,"33,000"
Sat 12:40:03 AM,54.2333,-71.55,↗ 27°,"33,000"
Sat 12:41:04 AM,54.3667,-71.45,↗ 24°,"33,000"
Sat 12:42:04 AM,54.5,-71.3833,↑ 16°,"33,000"
Sat 12:43:03 AM,54.6333,-71.2833,↗ 23°,"33,000"
Sat 12:44:03 AM,54.75,-71.1833,↗ 26°,"33,000"
Sat 12:45:03 AM,54.8667,-71.0667,↗ 30°,"33,000"
Sat 12:46:03 AM,54.9833,-71,↑ 18°,"33,000"
Sat 12:47:04 AM,55.1167,-70.9,↗ 23°,"33,000"
Sat 12:48:04 AM,55.25,-70.7833,↗ 26°,"33,000"
