Time,Latitude,Longitude,Course,feet
Fri 11:14:31 PM,43.6765,-79.6607,↙ 226°,575
Fri 11:14:47 PM,43.6663,-79.6762,↙ 232°,"1,425"
Fri 11:15:03 PM,43.6593,-79.6903,↙ 237°,"1,950"
Fri 11:15:19 PM,43.6507,-79.7085,↙ 237°,"2,225"
Fri 11:15:38 PM,43.6399,-79.7309,↙ 236°,"2,525"
Fri 11:16:08 PM,43.6202,-79.7692,↙ 234°,"3,400"
Fri 11:16:37 PM,43.5977,-79.8104,↙ 234°,"4,550"
Fri 11:16:53 PM,43.59,-79.835,← 256°,"5,100"
Fri 11:17:10 PM,43.5906,-79.8643,← 283°,"5,800"
Fri 11:17:27 PM,43.6017,-79.8924,← 310°,"6,450"
Fri 11:17:43 PM,43.6168,-79.907,↖ 334°,"6,750"
Fri 11:18:01 PM,43.6388,-79.9123,↑ 3°,"6,825"
Fri 11:18:23 PM,43.6682,-79.9002,↑ 19°,"6,825"
Fri 11:18:40 PM,43.6884,-79.8903,↑ 20°,"6,825"
Fri 11:18:57 PM,43.7098,-79.8794,↑ 20°,"6,825"
Fri 11:19:16 PM,43.7349,-79.8663,↗ 22°,"6,825"
Fri 11:19:32 PM,43.7533,-79.853,↗ 33°,"6,825"
Fri 11:19:52 PM,43.7751,-79.8308,↗ 37°,"6,825"
Fri 11:20:11 PM,43.7948,-79.8102,↗ 37°,"6,825"
Fri 11:20:31 PM,43.817,-79.7868,↗ 37°,"6,825"
Fri 11:21:01 PM,43.8497,-79.7526,↗ 37°,"7,425"
Fri 11:21:31 PM,43.8816,-79.7194,↗ 37°,"8,700"
Fri 11:22:01 PM,43.9144,-79.6851,↗ 37°,"9,900"
Fri 11:22:31 PM,43.9477,-79.65,↗ 37°,"10,575"
Fri 11:23:01 PM,43.9869,-79.609,↗ 37°,"11,025"
Fri 11:23:17 PM,44.0094,-79.5886,↗ 29°,"11,300"
Fri 11:23:34 PM,44.0359,-79.5721,↑ 21°,"11,875"
Fri 11:24:04 PM,44.0845,-79.5484,↑ 19°,"13,125"
Fri 11:24:34 PM,44.1368,-79.5231,↑ 19°,"14,450"
Fri 11:25:04 PM,44.1852,-79.4996,↑ 19°,"15,625"
Fri 11:25:34 PM,44.2382,-79.4738,↑ 19°,"16,950"
Fri 11:26:04 PM,44.2891,-79.4489,↑ 19°,"18,075"
Fri 11:26:34 PM,44.3394,-79.4242,↑ 20°,"19,175"
Fri 11:26:57 PM,44.3819,-79.4007,↗ 25°,"19,725"
Fri 11:27:41 PM,44.4539,-79.3441,↗ 31°,"21,100"
Fri 11:28:11 PM,44.5049,-79.3012,↗ 31°,"21,950"
Fri 11:28:41 PM,44.5569,-79.2571,↗ 31°,"22,800"
Fri 11:29:11 PM,44.6122,-79.2103,↗ 31°,"23,850"
