,Time (EDT)EDT,LatitudeLat,LongitudeLon,CourseDir,kts,mph,feet,Rate,Reporting Facility
7,Wed 02:01:27 AM02:01AM,25.320425.32,51.597551.60,↖ 335°,196,226,20502050.0,1543.0,FlightAware ADS-B (DIA / OTBD)
8,Wed 02:01:43 AM02:01AM,25.333325.33,51.592751.59,↑ 341°,201,231,22502250.0,656.0,FlightAware ADS-B (DOH / OTHH)
9,Wed 02:01:59 AM02:01AM,25.349325.35,51.588751.59,↑ 354°,212,244,24002400.0,545.0,FlightAware ADS-B (DOH / OTHH)
10,Wed 02:02:16 AM02:02AM,25.367025.37,51.591751.59,↑ 17°,233,268,25502550.0,688.0,FlightAware ADS-B (DIA / OTBD)
11,Wed 02:02:47 AM02:02AM,25.399225.40,51.604051.60,↑ 19°,253,291,29502950.0,738.0,FlightAware ADS-B (DOH / OTHH)
12,Wed 02:03:17 AM02:03AM,25.434625.43,51.618151.62,↑ 20°,280,322,33003300.0,848.0,FlightAware ADS-B (DIA / OTBD)
13,Wed 02:03:33 AM02:03AM,25.453725.45,51.625751.63,↑ 20°,288,331,36003600.0,1427.0,FlightAware ADS-B (DOH / OTHH)
14,Wed 02:03:58 AM02:03AM,25.485425.49,51.636051.64,↑ 14°,291,335,42754275.0,1691.0,FlightAware ADS-B (DOH / OTHH)
15,Wed 02:04:28 AM02:04AM,25.526225.53,51.645951.65,↑ 13°,296,341,51505150.0,1750.0,FlightAware ADS-B (DIA / OTBD)
16,Wed 02:04:58 AM02:04AM,25.567225.57,51.655751.66,↑ 12°,300,345,60256025.0,1696.0,FlightAware ADS-B (KHOU)
17,Wed 02:05:14 AM02:05AM,25.588825.59,51.660951.66,↑ 12°,302,348,64506450.0,1641.0,FlightAware ADS-B (RKT / OMRK)
18,Wed 02:05:30 AM02:05AM,25.610525.61,51.665651.67,↑ 11°,304,350,69006900.0,1696.0,FlightAware ADS-B (DOH / OTHH)
19,Wed 02:06:00 AM02:06AM,25.651525.65,51.673951.67,↑ 10°,309,356,77507750.0,1645.0,FlightAware ADS-B (DOH / OTHH)
20,Wed 02:06:32 AM02:06AM,25.698225.70,51.683651.68,↑ 11°,317,365,86008600.0,1530.0,FlightAware ADS-B (DOH / OTHH)
21,Wed 02:06:50 AM02:06AM,25.725425.73,51.689451.69,↑ 11°,324,373,90259025.0,1340.0,FlightAware ADS-B (DOH / OTHH)
22,Wed 02:07:19 AM02:07AM,25.767025.77,51.697651.70,↑ 6°,331,381,96509650.0,1440.0,FlightAware ADS-B (DOH / OTHH)
23,Wed 02:07:40 AM02:07AM,25.799525.80,51.693651.69,↑ 340°,331,381,1022510225.0,1173.0,FlightAware ADS-B (KHOU)
24,Wed 02:08:14 AM02:08AM,25.849625.85,51.671751.67,↖ 338°,345,397,1072510725.0,661.0,FlightAware ADS-B (DOH / OTHH)
25,Wed 02:08:39 AM02:08AM,25.887625.89,51.653551.65,↖ 332°,366,421,1087510875.0,511.0,FlightAware ADS-B (DIA / OTBD)
26,Wed 02:09:01 AM02:09AM,25.916825.92,51.628151.63,← 313°,373,429,1112511125.0,1167.0,FlightAware ADS-B (DOH / OTHH)
27,Wed 02:09:51 AM02:09AM,25.960025.96,51.545651.55,← 298°,379,436,1227512275.0,1397.0,FlightAware ADS-B (DOH / OTHH)
28,Wed 02:10:28 AM02:10AM,25.991525.99,51.479651.48,← 298°,390,449,1315013150.0,1410.0,FlightAware ADS-B (DOH / OTHH)
29,Wed 02:10:58 AM02:10AM,26.017426.02,51.425851.43,← 298°,398,458,1385013850.0,1575.0,FlightAware ADS-B (DOH / OTHH)
30,Wed 02:11:28 AM02:11AM,26.043926.04,51.371051.37,← 298°,400,460,1472514725.0,1623.0,FlightAware ADS-B (DOH / OTHH)
31,Wed 02:11:59 AM02:11AM,26.070426.07,51.316351.32,← 298°,404,465,1550015500.0,1475.0,FlightAware ADS-B (DOH / OTHH)
32,Wed 02:12:29 AM02:12AM,26.097226.10,51.261051.26,← 298°,411,473,1622516225.0,1350.0,FlightAware ADS-B (DOH / OTHH)
33,Wed 02:12:59 AM02:12AM,26.125026.12,51.203351.20,← 298°,421,484,1685016850.0,1402.0,FlightAware ADS-B (DIA / OTBD)
34,Wed 02:13:15 AM02:13AM,26.139926.14,51.173851.17,← 302°,422,486,1730017300.0,1676.0,FlightAware ADS-B (RKT / OMRK)
35,Wed 02:13:50 AM02:13AM,26.185826.19,51.116551.12,↖ 319°,423,487,1827518275.0,1500.0,FlightAware ADS-B (DIA / OTBD)
36,Wed 02:14:32 AM02:14AM,26.250126.25,51.057751.06,↖ 321°,426,490,1922519225.0,1208.0,FlightAware ADS-B (DOH / OTHH)
37,Wed 02:15:07 AM02:15AM,26.304326.30,51.007351.01,↖ 320°,431,496,1982519825.0,1147.0,FlightAware ADS-B (DHA / OEDR)
38,Wed 02:15:40 AM02:15AM,26.353026.35,50.961750.96,↖ 320°,429,494,2052520525.0,1190.0,FlightAware ADS-B (BAH / OBBI)
39,Wed 02:16:10 AM02:16AM,26.399426.40,50.918350.92,↖ 320°,432,497,2107521075.0,1068.0,FlightAware ADS-B (BAH / OBBI)
