Time (EDT),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Time (EDT),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Thu 01:02:00 PM  Departure (YYZ) @ Thursday 01:02:00 PM EDT,,,,,,,,Toronto Center
Thu 01:04:09 PM,43.6953,-79.6334,↗ 48°,190,219,850,,FlightAware ADS-B (CNC3)
Thu 01:04:25 PM,43.7055,-79.6188,↗ 42°,189,217,"1,625","2,672",FlightAware ADS-B (CYYZ)
Thu 01:04:41 PM,43.7164,-79.6057,↗ 41°,190,219,"2,275","2,531",FlightAware ADS-B (CYYZ)
Thu 01:04:57 PM,43.7279,-79.5921,↗ 41°,193,222,"2,975","2,250",FlightAware ADS-B (YCM / CYSN)
Thu 01:05:13 PM,43.7375,-79.5807,↗ 41°,194,223,"3,475","1,734",FlightAware ADS-B (CYYZ)
Thu 01:05:29 PM,43.7487,-79.5677,↗ 36°,209,241,"3,900","1,219",FlightAware ADS-B (CNN3)
Thu 01:05:45 PM,43.7642,-79.5577,↑ 11°,226,260,"4,125",986,FlightAware ADS-B (CYYZ)
Thu 01:06:04 PM,43.785,-79.5585,↑ 355°,249,287,"4,475","1,867",FlightAware ADS-B (CNN3)
Thu 01:06:34 PM,43.8211,-79.5625,↑ 354°,261,300,"5,650","2,264",FlightAware ADS-B (CYKZ)
Thu 01:06:57 PM,43.8492,-79.5663,↑ 355°,269,310,"6,475","1,358",FlightAware ADS-B (CYYZ)
Thu 01:07:27 PM,43.8864,-79.5707,↑ 355°,276,318,"6,850","1,775",FlightAware ADS-B (CZBA)
Thu 01:07:57 PM,43.9258,-79.5753,↑ 355°,275,316,"8,250","2,550",FlightAware ADS-B (CTR3)
Thu 01:08:27 PM,43.962,-79.5793,↑ 355°,282,325,"9,400","2,143",FlightAware ADS-B (CPA5)
Thu 01:08:53 PM,43.9974,-79.5832,↑ 358°,301,346,"10,250","1,567",FlightAware ADS-B (CYKZ)
Thu 01:09:12 PM,44.0245,-79.5781,↑ 17°,329,379,"10,575","1,327",FlightAware ADS-B (CYHM)
Thu 01:09:45 PM,44.0746,-79.554,↑ 20°,359,413,"11,400","2,071",FlightAware ADS-B (CYLS)
Thu 01:10:15 PM,44.1218,-79.5305,↑ 20°,369,425,"12,750","2,675",FlightAware ADS-B (CYLS)
Thu 01:10:45 PM,44.1707,-79.5063,↑ 19°,379,436,"14,075","2,675",FlightAware ADS-B (CYYZ)
Thu 01:11:15 PM,44.2207,-79.4819,↑ 19°,386,444,"15,425","2,650",FlightAware ADS-B (CYYZ)
Thu 01:11:45 PM,44.2702,-79.4578,↑ 19°,393,452,"16,725","2,575",FlightAware ADS-B (CPB9)
Thu 01:12:15 PM,44.3242,-79.4315,↑ 19°,400,460,"18,000","2,500",FlightAware ADS-B (CYYZ)
Thu 01:12:33 PM,44.355,-79.4164,↑ 20°,405,466,"18,725","2,351",FlightAware ADS-B (CYYZ)
Thu 01:12:52 PM,44.3878,-79.397,↗ 26°,412,474,"19,450","2,357",FlightAware ADS-B (CBE3)
Thu 01:13:22 PM,44.4387,-79.3569,↗ 31°,421,484,"20,650","2,100",FlightAware ADS-B (CYHM)
Thu 01:13:52 PM,44.4874,-79.3159,↗ 31°,429,494,"21,550","2,025",FlightAware ADS-B (CYHM)
Thu 01:14:22 PM,44.5411,-79.2705,↗ 31°,433,498,"22,675","1,475",FlightAware ADS-B (KROC)
Thu 01:14:52 PM,44.5902,-79.2289,↗ 31°,434,499,"23,025",325,FlightAware ADS-B (CYHM)
Thu 01:15:22 PM,44.6434,-79.1837,↗ 31°,433,498,"23,000",-25,FlightAware ADS-B (CYRO)
Thu 01:15:53 PM,44.7001,-79.1356,↗ 31°,429,494,"23,000",435,FlightAware ADS-B (CYEE)
Thu 01:16:24 PM,44.7497,-79.0936,↗ 31°,436,502,"23,450","1,279",FlightAware ADS-B (CYRO)
Thu 01:16:54 PM,44.8011,-79.0499,↗ 31°,443,510,"24,300","1,725",FlightAware ADS-B (CYYZ)
Thu 01:17:24 PM,44.8535,-79.0051,↗ 31°,450,518,"25,175","1,675",FlightAware ADS-B (CYYZ)
Thu 01:17:54 PM,44.9068,-78.9593,↗ 32°,458,527,"25,975","1,650",FlightAware ADS-B (KROC)
Thu 01:18:24 PM,44.9647,-78.9086,↗ 32°,465,535,"26,825","1,575",FlightAware ADS-B (CNF4)
Thu 01:18:54 PM,45.0173,-78.8623,↗ 32°,472,543,"27,550","1,500",FlightAware ADS-B (CYKF)
Thu 01:19:24 PM,45.0723,-78.814,↗ 32°,477,549,"28,325","1,600",FlightAware ADS-B (KROC)
Thu 01:19:54 PM,45.1298,-78.7633,↗ 32°,481,554,"29,150","1,575",FlightAware ADS-B (CNZ4)
Thu 01:20:24 PM,45.1871,-78.7128,↗ 32°,485,558,"29,900","1,700",FlightAware ADS-B (CNY3)
Thu 01:20:54 PM,45.2434,-78.6631,↗ 32°,483,556,"30,850","2,025",FlightAware ADS-B (KIAG)
Thu 01:21:24 PM,45.2999,-78.613,↗ 32°,476,548,"31,925","1,725",FlightAware ADS-B (CYHM)
Thu 01:21:54 PM,45.3554,-78.5638,↗ 32°,478,550,"32,575","1,075",FlightAware ADS-B (KIAG)
Thu 01:22:24 PM,45.4121,-78.5133,↗ 32°,478,550,"33,000",425,FlightAware ADS-B (CYOW)
Thu 01:22:54 PM,45.4669,-78.4645,↗ 32°,475,547,"33,000",,FlightAware ADS-B (CYYZ)
Thu 01:23:24 PM,45.5251,-78.4125,↗ 32°,475,547,"33,000",,FlightAware ADS-B (CYRO)
Thu 01:23:44 PM,45.5623,-78.3799,↗ 31°,474,545,"33,000",,FlightAware ADS-B (CCT2)
Thu 01:24:14 PM,45.6182,-78.3339,↗ 30°,473,544,"33,000",,FlightAware ADS-B (CYOW)
Thu 01:24:44 PM,45.6753,-78.2869,↗ 30°,471,542,"33,000",,FlightAware ADS-B (CYOW)
Thu 01:25:14 PM,45.7313,-78.2403,↗ 30°,469,540,"33,000",,FlightAware ADS-B (CYRP)
Thu 01:25:44 PM,45.7864,-78.194,↗ 31°,467,537,"33,000",25,FlightAware ADS-B (YCM / CYSN)
Thu 01:26:14 PM,45.8419,-78.1471,↗ 31°,462,532,"33,025",,FlightAware ADS-B (CNF4)
Thu 01:26:44 PM,45.8972,-78.1003,↗ 31°,461,531,"33,000",-25,FlightAware ADS-B (CYPQ)
Thu 01:27:15 PM,45.9523,-78.0535,↗ 31°,456,525,"33,000",,FlightAware ADS-B (CYPQ)
Thu 01:27:45 PM,46.0081,-78.006,↗ 31°,453,521,"33,000",,FlightAware ADS-B (CYPQ)
Thu 01:28:15 PM,46.0619,-77.9604,↗ 31°,453,521,"33,000",,FlightAware ADS-B (CYPQ)
Thu 01:28:45 PM,46.1157,-77.9145,↗ 31°,452,520,"33,000",,FlightAware ADS-B (YCM / CYSN)
Thu 01:29:15 PM,46.1715,-77.8669,↗ 31°,452,520,"33,000",,FlightAware ADS-B (CCT2)
Thu 01:29:46 PM,46.2255,-77.8206,↗ 31°,450,518,"33,000",,FlightAware ADS-B (CTY3)
Thu 01:30:16 PM,46.2786,-77.7749,↗ 31°,449,517,"33,000",,FlightAware ADS-B (CYPQ)
Thu 01:30:46 PM,46.3326,-77.7284,↗ 31°,446,513,"33,000",,FlightAware ADS-B (CYPQ)
Thu 01:31:16 PM,46.3871,-77.6815,↗ 31°,445,512,"33,000",,FlightAware ADS-B (CYMX)
Thu 01:31:46 PM,46.437,-77.6384,↗ 31°,444,511,"33,000",,FlightAware ADS-B (CBV5)
Thu 01:32:16 PM,46.489,-77.5934,↗ 31°,444,511,"33,000",,FlightAware ADS-B (CBV5)
Thu 01:32:46 PM,46.5434,-77.5462,↗ 31°,444,511,"33,000",,FlightAware ADS-B (CSU3)
Thu 01:33:17 PM,46.5968,-77.4998,↗ 31°,445,512,"33,000",,FlightAware ADS-B (CNY3)
Thu 01:33:48 PM,46.6529,-77.4509,↗ 31°,442,509,"33,000",,FlightAware ADS-B (CYPQ)
Thu 01:34:18 PM,46.7045,-77.4057,↗ 31°,444,511,"33,000",,FlightAware ADS-B (CYPQ)
Thu 01:34:49 PM,46.7581,-77.3588,↗ 31°,441,507,"33,000",,FlightAware ADS-B (CYPQ)
Thu 01:35:19 PM,46.8096,-77.3135,↗ 31°,439,505,"33,000",,FlightAware ADS-B (CYOW)
Thu 01:35:50 PM,46.8667,-77.2632,↗ 31°,438,504,"33,000",,FlightAware ADS-B (CYMX)
Thu 01:36:20 PM,46.9173,-77.2185,↗ 31°,438,504,"33,000",,FlightAware ADS-B (CSE4)
Thu 01:36:50 PM,46.9714,-77.1706,↗ 31°,438,504,"33,000",,FlightAware ADS-B (CYMX)
Thu 01:37:21 PM,47.0232,-77.1248,↗ 31°,440,506,"33,000",,FlightAware ADS-B (CYRP)
Thu 01:37:51 PM,47.0749,-77.0789,↗ 31°,440,506,"33,000",,FlightAware ADS-B (CYVO)
Thu 01:38:22 PM,47.1278,-77.0317,↗ 31°,439,505,"33,000",,FlightAware ADS-B (CNZ4)
Thu 01:38:52 PM,47.1804,-76.9848,↗ 31°,438,504,"33,000",,FlightAware ADS-B (CYMX)
Thu 01:39:22 PM,47.2337,-76.937,↗ 31°,437,503,"33,000",,FlightAware ADS-B (CYMX)
Thu 01:39:52 PM,47.2854,-76.8907,↗ 31°,437,503,"33,000",,FlightAware ADS-B (CYMX)
Thu 01:40:22 PM,47.3357,-76.8455,↗ 32°,439,505,"33,000",,FlightAware ADS-B (CYVO)
Thu 01:40:52 PM,47.3888,-76.7976,↗ 31°,439,505,"33,000",,FlightAware ADS-B (CYMX)
Thu 01:41:22 PM,47.4389,-76.7525,↗ 32°,441,507,"33,000",,FlightAware ADS-B (CYVO)
Thu 01:41:53 PM,47.4954,-76.7012,↗ 32°,443,510,"33,000",,FlightAware ADS-B (CYMX)
Thu 01:42:23 PM,47.5471,-76.6543,↗ 32°,444,511,"33,000",,FlightAware ADS-B (CYMX)
Thu 01:42:55 PM,47.6022,-76.6041,↗ 32°,444,511,"33,000",,FlightAware ADS-B (CYOW)
Thu 01:43:26 PM,47.6557,-76.5554,↗ 32°,444,511,"33,000",,FlightAware ADS-B (CHA3)
Thu 01:43:56 PM,47.7084,-76.5072,↗ 32°,444,511,"33,000",,FlightAware ADS-B (CHA3)
